artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,mood_1
Wynonna,Things That I Lean On,0.379,0.105,75.589,0.0328,0.798,2.05E-05,4,0.612,11,220653,-8.756,0.35,1,Energetic
Cary Brothers,Blue Eyes,0.398,0.086,112.329,0.0262,0.282,2.71E-06,3,0.635,4,259307,-7.893,0.409,1,Gritty
Black Sabbath,Children of the Sea - Remastered Version,0.697,0.251,142.127,0.0315,0.00572,0.000664,4,0.414,6,334587,-8.12,0.333,1,Energetic
Macy Gray,I Try,0.23,0.0983,83.001,0.143,0.908,0.0536,4,0.596,10,257000,-20.001,0.259,1,Yearning
Grum,Drifting Away,0.895,0.11,125.987,0.0465,0.00116,0.319,4,0.572,4,198141,-7.729,0.156,1,Excited
Coast Modern,Hollow Life,0.748,0.0386,118.96,0.0389,0.00332,4.19E-06,4,0.631,8,237067,-4.042,0.259,1,Excited
Lost Love,"Take Care, Get Better, See You Never",0.916,0.403,140.293,0.0709,0.00335,0.000322,4,0.42,3,160516,-4.636,0.541,1,Energetic
Richard Elliot,Cachaca,0.834,0.112,99.593,0.0701,0.253,0.826,4,0.707,7,243147,-5.75,0.862,1,Energetic
The Rolling Stones,Start Me Up - Remastered,0.839,0.0885,122.606,0.0344,0.0672,0.307,4,0.659,5,210884,-8.056,0.967,1,Excited
Mumford & Sons,Timshel,0.279,0.114,82.509,0.0344,0.863,6.94E-06,4,0.463,5,173400,-9.5,0.0875,1,Sad
Clment Janequin,"L'amour, la mort et la vie",0.0771,0.101,114.14,0.0454,0.983,5.74E-06,3,0.245,3,110560,-24.327,0.0819,1,Stirring
The Jackson 5,I Want You Back,0.577,0.168,98.148,0.0337,0.487,0.00338,4,0.659,8,179227,-8.114,0.942,1,Energetic
Mark Isham,Our Eyes Aren't What Make Us See,0.0722,0.103,66.182,0.0343,0.988,0.924,3,0.17,6,238493,-19.233,0.0549,1,Peaceful
Daniel Powter,Bad Day,0.667,0.167,140.028,0.029,0.27,3.64E-05,4,0.583,3,233920,-7.351,0.515,1,Energetic
Culann's Hounds,The Skylark,0.772,0.0945,112.652,0.0353,0.00135,0.894,4,0.526,7,196867,-6.094,0.409,1,Easygoing
Wye Oak,Glory,0.649,0.16,119.997,0.0316,0.0119,0.102,4,0.647,9,293269,-7.183,0.586,1,Energetic
Bcee & S.P.Y,Is Anybody Out There? - Friction & K-Tee Remix,0.887,0.164,171.965,0.0453,0.00125,0.687,4,0.472,1,342240,-4.195,0.111,1,Excited
Kevin Krauter,Bachelor,0.358,0.114,104.776,0.0346,0.917,0.0778,4,0.536,11,328560,-14.639,0.154,1,Other
Barfalk,A Thousand Years - Lounge Mix,0.167,0.0999,94.854,0.0319,0.792,0.118,4,0.28,10,293357,-12.677,0.127,1,Aggressive
Pierce Fulton,False Proof,0.905,0.126,100.038,0.0892,0.166,0.359,4,0.753,2,232800,-4.822,0.868,1,Cool
Eddie Floyd,Knock On Wood,0.346,0.0514,105.164,0.0365,0.277,0.00521,4,0.864,4,189840,-12.918,0.965,1,Easygoing
Fleetwood Mac,The Chain,0.529,0.0383,151.727,0.0436,0.0629,0.000567,4,0.546,9,271000,-13.6,0.549,1,Cool
Come Sleep,Be The End,0.696,0.0818,118.859,0.0613,0.00123,0.0412,4,0.404,4,355333,-6.122,0.26,1,Defiant
Wolfgang Amadeus Mozart,"Piano Concerto No. 24 in C Minor, K. 491: II. Largo",0.0277,0.159,94.749,0.0369,0.99,0.936,4,0.229,3,493293,-29.003,0.071,1,Stirring
The Rolling Stones,Bitch - Remastered,0.972,0.165,135.922,0.0362,0.257,0.297,4,0.655,7,217093,-3.502,0.974,1,Energetic
Somepling,Cedrela Falls,0.291,0.135,70,0.0486,0.872,0.795,4,0.457,5,151072,-20.202,0.361,1,Sad
Smoke Season,Opaque,0.448,0.0836,131.902,0.0348,0.515,0.0398,3,0.33,1,271067,-8.769,0.153,1,Romantic
Pale Saints,Ordeal,0.539,0.265,121.501,0.0349,9.28E-05,0.833,4,0.503,2,238227,-15.502,0.633,1,Sad
Ghasper,Brand,0.711,0.0358,160.163,0.116,0.696,0.0367,4,0.471,2,246008,-4.665,0.304,1,Sad
The Wild Reeds,Love Letter,0.391,0.207,108.905,0.0293,0.967,0.0375,4,0.564,7,187253,-10.396,0.403,1,Serious
The Jackson 5,Who's Lovin' You,0.417,0.156,159.836,0.0335,0.787,2.31E-05,3,0.256,7,240187,-6.805,0.367,1,Energetic
Sudden Beatz,Bring It Back Now,0.736,0.131,191.996,0.0892,0.000891,0.585,4,0.588,1,187500,-5.222,0.186,1,Energetic
Smallpools,Killer Whales,0.849,0.185,144.844,0.0503,0.000303,4.23E-05,4,0.416,8,222760,-3.833,0.662,1,Excited
Motopony,Wait for Me,0.577,0.122,159.844,0.0342,0.239,0.779,4,0.619,6,289200,-9.754,0.646,1,Sad
Peter Philips,Christus resurgens,0.141,0.0928,97.191,0.044,0.994,0.173,3,0.29,11,223453,-18.397,0.111,1,Peaceful
Gareth Pearson,Beauty of Discipline,0.292,0.114,101.093,0.0361,0.904,0.366,4,0.469,6,263213,-16.363,0.243,1,Peaceful
not sorry,Hold Up,0.926,0.29,150.123,0.215,0.000233,0.308,4,0.6,1,243600,-3.241,0.464,1,Excited
Eric Clapton,Wonderful Tonight,0.208,0.123,95.534,0.0299,0.678,0.107,4,0.573,7,225027,-15.662,0.481,1,Energetic
No Doubt,Sunday Morning,0.785,0.127,157.109,0.0312,0.00906,1.82E-05,4,0.589,4,273067,-5.367,0.776,1,Energetic
Ed Sheeran,Give Me Love,0.39,0.0908,116.301,0.036,0.583,5.07E-06,4,0.465,1,323808,-8.685,0.235,1,Energetic
Annea Lockwood,Micro Glass Shaken,0.0776,0.0924,64.906,0.0745,0.964,0.895,4,0.352,1,103027,-36.701,0.0387,1,Energetic
Cur De Pirate,Comme des enfants,0.354,0.102,123.636,0.0387,0.829,0.0112,3,0.686,10,169107,-9.284,0.296,1,Energetic
The Budos Band,Up From the South,0.805,0.0911,110.74,0.0465,0.00511,0.823,4,0.682,2,207973,-7.168,0.562,1,Yearning
Carl Friedrich Abel,"Sonata for violoncello and basso continuo in G Major, WKO 147: III. Rondeau",0.162,0.132,147.347,0.0312,0.963,0.279,4,0.332,6,118933,-18.148,0.649,1,Tender
The Paper Kites,Electric Indigo,0.693,0.107,95.999,0.0345,0.12,0.19,4,0.575,1,223520,-8.033,0.704,1,Sad
The Seekers,I'll Never Find Another You,0.685,0.343,126.519,0.0318,0.742,0.0402,4,0.567,10,163307,-7.466,0.777,1,Energetic
Kaleida,Detune,0.407,0.116,129.052,0.0414,0.509,0.0433,4,0.739,11,250097,-9.806,0.112,1,Sensual
Elf Power,Paralyzed,0.716,0.338,96.465,0.0342,0.437,0.106,4,0.422,9,179373,-7.264,0.77,1,Energetic
Sander van Doorn,Raise Your Hands Up,0.983,0.214,126.009,0.053,0.000806,0.794,4,0.716,7,187143,-3.433,0.738,1,Sensual
John Coltrane,Doxy - 1990 Digital Remaster,0.193,0.192,127.492,0.0407,0.92,0.00166,4,0.663,10,407293,-13.594,0.374,1,Sentimental
Skott,Wolf,0.563,0.0714,99.986,0.0388,0.228,0.000343,4,0.582,1,223200,-9.314,0.296,1,Sophisticated
Koauka,Take You For A Ride,0.81,0.056,90.018,0.0417,0.125,0.0211,4,0.759,10,197173,-7.23,0.94,1,Cool
Aoife O'Donovan,The King Of All Birds,0.621,0.115,81.433,0.0339,0.333,0.00473,4,0.468,9,236400,-7.373,0.27,1,Gritty
Laura Veirs,Soldier's Joy,0.56,0.0817,99.069,0.0302,0.829,0.00434,4,0.649,1,168747,-8.63,0.649,1,Easygoing
Steve Jablonsky,Lone Survivor,0.145,0.0812,142.689,0.0379,0.852,0.948,4,0.273,7,217998,-21.57,0.0342,1,Peaceful
D'Angelo,Brown Sugar,0.486,0.102,83.077,0.168,0.53,0.0342,4,0.718,9,262893,-8.342,0.585,1,Sensual
Bad Company UK,Nitrous,0.974,0.103,173.799,0.0823,0.000104,0.745,4,0.436,6,437667,-8.757,0.545,1,Excited
Songs For Children,The Story of Alice and the White Rabbit / The Magic Potion / The Pool of Tears,0.105,0.156,112.377,0.469,0.839,2.60E-06,3,0.557,7,956547,-24.888,0.543,1,Easygoing
Disturbed,Down With The Sickness,0.846,0.144,89.962,0.054,0.000753,2.35E-05,4,0.68,8,277853,-5.252,0.922,1,Aggressive
Kiso,Think,0.567,0.289,124.014,0.0346,0.0367,0.0606,4,0.733,1,170323,-7.385,0.201,1,Sensual
Martha & The Muffins,Echo Beach - 2002 - Remaster,0.746,0.0976,163.809,0.045,0.13,8.73E-06,4,0.54,7,219867,-9.412,0.809,1,Yearning
Josef Suk,"Four Pieces for Violin and Piano, Op. 17: II. Appassionato",0.162,0.0789,160.907,0.0453,0.975,0.0924,3,0.331,2,244613,-19.794,0.203,1,Serious
Art Tatum,Blue Skies,0.0971,0.124,176.151,0.0519,0.993,0.899,4,0.468,1,173827,-18.715,0.654,1,Sentimental
The Devil Makes Three,I Am The Man Thomas,0.696,0.0602,124.766,0.0451,0.753,0.00173,4,0.675,7,159102,-7.347,0.478,1,Serious
Rob Zombie,Living Dead Girl,0.952,0.211,103.075,0.0719,0.00385,0.07,4,0.512,11,202173,-5.344,0.51,1,Aggressive
Craft,Void,0.8,0.0892,58.846,0.102,0.000292,0.414,4,0.0616,8,509573,-5.335,0.0718,1,Defiant
Mumford & Sons,Where Are You Now,0.352,0.0872,83.908,0.0426,0.662,3.49E-06,4,0.525,4,219853,-10.004,0.117,1,Energetic
Eric B. & Rakim,Paid In Full,0.855,0.0499,99.018,0.227,0.00263,0.00104,4,0.884,7,228667,-8.919,0.425,1,Cool
Manse,Freeze Time - Acoustic Version,0.35,0.137,128.07,0.0296,0.818,1.30E-06,4,0.597,5,204375,-7.611,0.36,1,Energetic
Arnold Schoenberg,"Kol Nidre, Op. 39",0.0925,0.0919,73.486,0.0379,0.924,0.0287,3,0.178,1,851187,-19.85,0.0546,1,Serious
Henry Purcell,"Purcell / Arr Balsom: Come Ye Sons of Art, Z. 323: Sound the trumpet (countertenor)",0.19,0.164,103.428,0.0405,0.983,0.28,4,0.369,1,155480,-18.078,0.593,1,Tender
Rev Theory,Justice,0.994,0.341,168.019,0.0578,0.000197,0.00106,4,0.387,8,199573,-2.727,0.749,1,Defiant
Cash Cash,Escarole,0.938,0.851,124.956,0.0589,0.00165,0.0379,4,0.658,11,240773,-4.305,0.653,1,Aggressive
ILoveMakonnen,Side to Side,0.75,0.338,129.944,0.0348,0.000465,0.000396,4,0.669,2,205063,-8.35,0.388,1,Energetic
Anton Steck,Concerto RV 368 in si bemolle maggiore: I. Allegro,0.153,0.293,136.995,0.0374,0.848,0.8,4,0.406,9,229933,-21.392,0.483,1,Tender
Edward Sharpe & The Magnetic Zeros,Somewhere,0.491,0.152,133.68,0.0314,0.93,0.171,4,0.548,9,198026,-10.451,0.844,1,Energetic
Eagles Of Death Metal,Don't Speak (I Came to Make a Bang),0.911,0.656,136.748,0.119,0.00678,0.00508,4,0.598,8,167840,-3.753,0.601,1,Energetic
Nekrokraft,Will o' Wisp,0.943,0.173,94.619,0.0686,7.12E-06,0.00464,3,0.327,11,175755,-5.851,0.154,1,Aggressive
Mazzy Star,Fade Into You,0.33,0.0677,157.143,0.0275,0.245,0.000679,3,0.42,9,295600,-13.925,0.173,1,Romantic
Au/Ra,Concrete Jungle,0.495,0.125,82.9,0.0619,0.43,0.00163,4,0.551,11,155277,-9.247,0.245,1,Gritty
Art Tatum,Night And Day,0.311,0.182,142.001,0.052,0.98,0.861,3,0.448,8,87413,-15.869,0.642,1,Energetic
The White Stripes,The Hardest Button To Button,0.527,0.0924,128.458,0.0721,0.00777,0.323,4,0.694,7,215293,-8.371,0.569,1,Energetic
The Range,Five Four,0.838,0.0976,159.669,0.0795,0.0165,0.0284,4,0.55,9,233827,-7.786,0.251,1,Cool
Michael Jackson,Jam,0.96,0.271,116.273,0.0721,0.0487,0.0228,4,0.884,2,338173,-4.613,0.607,1,Excited
Fono,Feet On The Ground,0.733,0.41,114.811,0.0502,0.00393,0.000983,4,0.47,7,284870,-7.6,0.101,1,Energetic
Sergei Rachmaninoff,"Piano Concerto No.3 In D Minor, Op.30: 1. Allegro ma non tanto - Live From Caracas / 2013",0.0536,0.0938,136.802,0.0369,0.985,0.916,4,0.257,10,950280,-26.92,0.0481,1,Serious
Alexander Scriabin,"Etude in C-Sharp Minor, Op. 42, No. 5",0.38,0.103,130.423,0.0404,0.988,0.882,3,0.352,9,174973,-14.878,0.0394,1,Tender
Darkened Nocturn Slaughtercult,Saldorian Spell,0.955,0.199,159.358,0.173,3.09E-05,0.901,4,0.147,9,409627,-8.83,0.0392,1,Aggressive
Hello Saferide,I Forgot About Songs,0.306,0.0958,119.98,0.0575,0.62,0.32,4,0.773,7,194480,-12.345,0.626,1,Easygoing
Jascha Heifetz,"Romeo and Juliet, Op. 64: V. Masks (arr. J. Heifetz)",0.0719,0.0901,164.033,0.0384,0.97,0.0821,4,0.513,10,133400,-19.927,0.46,1,Serious
Kiiara,Gold,0.412,0.134,113.049,0.344,0.615,0.0025,5,0.6,8,225882,-9.343,0.409,1,Sensual
Relaxing Instrumental Jazz Ensemble,Chill Music,0.111,0.114,158.954,0.0433,0.987,0.888,4,0.483,9,222636,-16.041,0.442,1,Sad
Rod Stewart,Fly Me To The Moon,0.337,0.0984,104.377,0.031,0.872,9.24E-06,4,0.305,5,165480,-9.632,0.156,1,Sophisticated
Hamilton Leithauser + Rostam,In a Black Out,0.291,0.114,87.969,0.0286,0.784,0.149,4,0.511,3,196747,-10.854,0.403,1,Sad
Sascha Braemer,Monogamy - Original Mix,0.71,0.209,120.986,0.0338,0.000141,0.89,4,0.637,2,370730,-11.281,0.0875,1,Energetic
Linda Ronstadt,Blue Bayou,0.161,0.105,95.21,0.0306,0.739,0.000379,4,0.732,11,239400,-12.817,0.498,1,Sentimental
Ben Lee,Rise Up,0.18,0.115,144.953,0.0331,0.817,7.07E-05,3,0.48,5,265187,-14.831,0.261,1,Sentimental
Frankie Ballard,L.A. Woman,0.879,0.184,129.902,0.0325,0.00214,4.18E-06,4,0.538,2,267213,-4.824,0.614,1,Energetic
Avatar,The Eagle Has Landed,0.942,0.304,170.22,0.0673,0.000745,0.00152,4,0.455,2,301677,-6.513,0.297,1,Aggressive
Hozier,Like Real People Do,0.183,0.106,70.06,0.0298,0.914,0.404,3,0.569,7,198029,-14.371,0.129,1,Sentimental
Fleet Foxes,Battery Kinzie,0.635,0.105,138.96,0.0266,0.207,5.44E-05,4,0.595,7,169000,-6.241,0.858,1,Energetic
Vybz Kartel,Fever,0.62,0.0805,98.093,0.244,0.139,1.61E-05,4,0.891,7,204500,-7.463,0.406,1,Cool
ZHU,Automatic,0.679,0.364,121.993,0.0511,0.0129,0.0921,4,0.791,6,230720,-6.879,0.713,1,Energetic
Trace Adkins,Jesus and Jones,0.844,0.0213,138.091,0.0562,0.0266,2.47E-06,4,0.491,1,226293,-5.321,0.629,1,Yearning
The Pastels,Nothing To Be Done,0.896,0.287,141.72,0.106,0.00144,0.73,4,0.349,9,232133,-10.59,0.493,1,Energetic
Sergei Prokofiev,"Symphony No. 5 in B-Flat Major, Op. 100: I. Andante",0.164,0.116,88.161,0.0358,0.893,0.926,4,0.107,10,813720,-20.572,0.0475,1,Serious
Matoma,Running Out - Samuraii Remix,0.306,0.161,185.828,0.338,0.337,0.0797,4,0.522,10,174839,-13.566,0.22,1,Sensual
Little Dragon,Ritual Union,0.738,0.22,144.035,0.0324,0.0381,0.00527,4,0.7,1,210267,-4.398,0.794,1,Cool
Marx Philipp Zeyhold,Fuge in D Major,0.11,0.0791,83.148,0.0449,0.936,0.825,4,0.133,10,225840,-22.69,0.296,1,Tender
Guns N' Roses,Sweet Child O' Mine,0.911,0.236,125.122,0.0466,0.0801,0.146,4,0.451,6,356080,-7.765,0.62,1,Energetic
Rob Baird,Dreams and Gasoline,0.828,0.369,148.034,0.0321,0.00014,0.000375,4,0.549,11,281293,-5.974,0.393,1,Energetic
Elmore James,Dust My Broom,0.664,0.289,101.928,0.0354,0.247,0.0124,4,0.526,2,174667,-6.62,0.803,1,Energetic
Cary Morin,Prisoner,0.086,0.0953,89.955,0.036,0.758,6.00E-05,4,0.54,2,249760,-16.292,0.293,1,Gritty
Aulis Sallinen,"Kullervo, Op. 61: Act I Scene 2: Mina tahdon olla tuoksuva ja lammin kuin nuori leipa (Smith's Young Wife)",0.0181,0.106,78.853,0.0455,0.927,8.57E-06,4,0.243,8,186293,-30.389,0.0343,1,Serious
Beta Radio,Here Too Far,0.0971,0.108,107.037,0.0559,0.974,0.951,4,0.516,5,55213,-20.081,0.446,1,Sentimental
Hallows Eve,Plunging to Megadeath,0.899,0.347,101.294,0.0462,0.000141,0.000122,4,0.249,11,294067,-10.275,0.141,1,Aggressive
Tennyson,All Yours,0.478,0.0886,95.014,0.0444,0.106,0.87,4,0.624,1,182973,-10.536,0.515,1,Sensual
Lightnin' Hopkins,Shaggy Dog,0.541,0.112,119.56,0.0336,0.826,0.000222,4,0.659,3,166947,-12.065,0.974,1,Energetic
Gerald Finzi,Romance,0.102,0.243,106.415,0.0451,0.968,0.833,3,0.161,8,420787,-23.622,0.0479,1,Peaceful
Art Ensemble Of Chicago,"Variations sur un thme de Monteverdi (I, II, III)",0.259,0.122,86.077,0.0341,0.864,0.784,4,0.19,5,287240,-10.609,0.039,1,Sad
Gryffin,Whole Heart,0.677,0.171,163.951,0.0869,0.0427,1.32E-05,4,0.5,9,225200,-7.237,0.208,1,Energetic
Brand New,I Am a Nightmare,0.957,0.35,80.007,0.0631,1.22E-05,0.146,4,0.226,5,200589,-3.228,0.513,1,Defiant
Foxygen,San Francisco,0.65,0.146,116.74,0.0274,0.245,0.000913,4,0.623,10,227907,-7.953,0.884,1,Energetic
Bob Dylan,Shelter from the Storm,0.241,0.0928,106.574,0.0366,0.413,3.51E-05,4,0.486,4,301133,-17.337,0.629,1,Gritty
Atlantic Starr,Am I Dreaming,0.241,0.0849,123.956,0.0377,0.552,4.82E-05,4,0.65,6,336533,-16.977,0.189,1,Sensual
Stevie Wonder,Knocks Me Off My Feet,0.485,0.127,90.578,0.0274,0.267,1.86E-06,4,0.603,5,216456,-14.128,0.408,1,Sensual
Casey J,I'm Yours,0.698,0.65,79.285,0.0857,0.0686,2.93E-06,4,0.385,1,469631,-6.893,0.371,1,Stirring
Michael Jackson,Rock With You - Single Version,0.711,0.0988,114.331,0.0344,0.0774,0.000153,4,0.8,1,219907,-7.165,0.843,1,Sensual
Norther,Deep Inside,0.984,0.32,180.106,0.0647,1.98E-06,0.572,4,0.347,2,205720,-6.162,0.456,1,Aggressive
Frdric Chopin,"Nocturne No.1 In B Flat Minor, Op.9 No.1",0.0149,0.102,75.296,0.0419,0.992,0.897,4,0.261,1,286987,-27.528,0.0381,1,Tender
James & Lucky Peterson,Don't Give The Devil No Ground,0.945,0.167,107.106,0.048,0.0959,0.000886,4,0.662,8,223867,-4.637,0.868,1,Energetic
Miles Davis,Right Off,0.68,0.218,123.457,0.0569,0.0361,0.0522,4,0.405,5,1613693,-7.608,0.357,1,Sad
Ingram Marshall,"Fragility Cycles (""Gambuh"")",0.0453,0.111,67.837,0.0523,0.989,0.928,4,0.1,9,897693,-28.086,0.0263,1,Sad
Ludwig van Beethoven,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile - Andante moderato",0.0212,0.117,82.506,0.0369,0.973,0.901,4,0.0823,10,813000,-30.388,0.0576,1,Peaceful
Arcangelo Corelli,"Concerto grosso No. 7 in D Major, Op. 6: I. Vivace - Allegro - Adagio",0.234,0.34,144.555,0.042,0.884,0.0822,3,0.315,1,145533,-13.188,0.197,1,Romantic
The Byrds,Eight Miles High,0.764,0.489,130.549,0.0721,0.205,0.0627,4,0.373,9,214400,-10.501,0.348,1,Energetic
Marilyn Manson,This Is The New Shit,0.873,0.113,178.142,0.111,0.000793,0.00225,4,0.576,2,260093,-6.058,0.605,1,Aggressive
The Depreciation Guild,Dream About Me,0.914,0.148,187.512,0.0367,1.24E-06,0.907,4,0.339,2,308093,-7.481,0.785,1,Sad
London Symphony Orchestra,"Symphonie fantastique, Op. 14: IV. Marche au supplice",0.0765,0.107,77.039,0.035,0.87,0.909,4,0.361,10,422080,-24.765,0.273,1,Serious
Ciszak,I Want - Original Mix,0.527,0.0526,124.023,0.0497,0.000984,0.816,4,0.805,2,393871,-7.379,0.712,1,Excited
Teddy Thompson,I Thought That We Said Goodbye,0.23,0.146,165.882,0.0286,0.822,1.18E-06,4,0.436,4,159040,-10.157,0.37,1,Energetic
Gregory Isaacs,Cool Down The Pace,0.266,0.0709,76.37,0.264,0.0887,0.0217,4,0.87,10,315027,-15.559,0.926,1,Cool
Knuckle Puck,Disdain,0.97,0.159,95.034,0.0988,0.0114,2.65E-05,4,0.433,6,164728,-3.02,0.345,1,Energetic
Seekae,Turbine Blue,0.402,0.148,121.972,0.06,0.486,0.000351,4,0.721,3,222377,-9.543,0.441,1,Sensual
Chella,Quiet Nights Of Quiet Stars,0.507,0.114,140.013,0.0404,0.45,0.205,4,0.673,2,257196,-8.187,0.0948,1,Sophisticated
Roo Panes,Tiger Striped Sky,0.317,0.11,139.899,0.0318,0.944,0.0124,4,0.473,2,241720,-10.324,0.125,1,Yearning
Sacred Reich,Surf Nicaragua,0.972,0.542,101.195,0.166,0.00083,0.538,4,0.221,1,296813,-5.798,0.284,1,Aggressive
LRKR,Pops,0.432,0.0775,95.958,0.0434,0.00109,0.0359,4,0.732,2,203750,-9.229,0.215,1,Sensual
A Flock Of Seagulls,Space Age Love Song,0.534,0.192,140.006,0.029,0.00211,0.00082,4,0.493,2,226587,-11.917,0.637,1,Excited
Nina Postolovskaya,Clare de Lune (piano),0.0173,0.0774,73.058,0.0576,0.99,0.92,3,0.322,1,306227,-27.934,0.037,1,Tender
AC/DC,Hard Times,0.758,0.448,93.095,0.036,5.64E-05,0.0304,4,0.57,9,164227,-4.362,0.477,1,Energetic
Joe Walsh,"In The City - From ""The Warriors"" Soundtrack",0.677,0.423,80.846,0.0331,0.174,0.00621,4,0.468,9,235427,-9.651,0.724,1,Energetic
Pras,Ghetto Supastar (That is What You Are),0.653,0.22,99.931,0.204,0.0335,5.46E-06,4,0.818,1,261133,-8.396,0.534,1,Cool
Michael Franti & Spearhead,Crazy For You,0.928,0.123,90.001,0.0517,0.0986,7.71E-05,4,0.616,8,219187,-4.174,0.614,1,Yearning
Fallujah,Dreamless,0.934,0.204,130.034,0.0781,0.0434,0.695,4,0.484,9,378205,-6.057,0.0598,1,Sad
Ears Of Light,Wish I Could Fly - Airmode Mix,0.26,0.114,154.022,0.0272,0.53,0.849,4,0.547,7,296299,-20.712,0.248,1,Energetic
Urban Zakapa,I Don't Love You,0.347,0.102,146.661,0.0318,0.806,4.37E-06,4,0.35,4,254925,-6.154,0.241,1,Energetic
Hurt,Rapture,0.702,0.217,148.096,0.0608,0.00641,7.75E-06,4,0.444,6,340667,-6.799,0.264,1,Energetic
Jon Batiste,Ask Me Now,0.226,0.0944,117.226,0.0462,0.749,0.00148,4,0.561,1,331853,-14.393,0.177,1,Energetic
Lewis Black,America Loses It's Mind,0.984,0.701,81.02,0.902,0.868,1.65E-06,4,0.481,10,269227,-7.28,0.0414,1,Other
Wolfgang Amadeus Mozart,"Divertimento in B-Flat Major, K. 137, ""Salzburg Symphony No. 2"": III. Allegro assai",0.0895,0.0813,113.705,0.0397,0.971,0.877,3,0.639,10,133960,-19.556,0.661,1,Tender
Max Styler,D2B - Steve Aoki Remix,0.994,0.842,128.04,0.103,0.00803,0.648,4,0.632,11,232500,-2.49,0.312,1,Excited
Franz Schubert,"Piano Sonata No. 19 in C Minor, D. 958: III. Menuetto. Allegro. Trio",0.0233,0.137,97.622,0.0582,0.993,0.934,3,0.374,8,206013,-25.845,0.118,1,Tender
Gregory Spears,Requiem: Cigne ie Suis de Candeur (after Claude Le Jeune),0.0686,0.085,133.982,0.056,0.99,0.631,3,0.242,9,313560,-25.148,0.0388,1,Peaceful
Aoife O'Donovan,The King Of All Birds,0.621,0.115,81.433,0.0339,0.333,0.00473,4,0.468,9,236400,-7.373,0.27,1,Gritty
Seraphim,Belial,0.985,0.0591,74.98,0.103,0.000332,0.413,4,0.371,2,244856,-2.84,0.0456,1,Sad
Chris Stapleton,Parachute,0.749,0.154,113.033,0.0297,0.014,3.52E-05,4,0.639,6,253200,-7.327,0.631,1,Energetic
Wolfgang Amadeus Mozart,"Sonate pour violon en Sol Majeur, K. 379: II. Andantino cantabile",0.08,0.148,116.284,0.0386,0.972,0.145,4,0.47,7,534467,-26.391,0.625,1,Stirring
Waters,Got To My Head,0.74,0.0602,114.903,0.045,0.0118,8.99E-05,4,0.515,3,186747,-5.528,0.518,1,Defiant
The Wild Reeds,Let No Grief,0.491,0.155,112.006,0.0367,0.42,1.48E-05,4,0.574,9,274733,-6.724,0.131,1,Energetic
Terror Jr,Come First,0.198,0.0866,95.084,0.323,0.123,0.000451,4,0.749,5,171789,-11.747,0.366,1,Defiant
Matt Costa,Beekeeper Becomes Eucalyptus Trees,0.292,0.11,87.789,0.0379,0.705,0.873,4,0.522,11,104458,-15.013,0.541,1,Sentimental
The Prodigy,Firestarter,0.946,0.164,141.517,0.0793,0.00339,0.442,4,0.534,11,279800,-5.167,0.373,1,Aggressive
Avril Lavigne,Slipped Away,0.629,0.114,160.779,0.0315,0.00243,1.56E-05,3,0.434,7,215333,-4.262,0.105,1,Sad
Neko Case,Things That Scare Me,0.713,0.0998,116.973,0.0359,0.698,0.0321,4,0.316,5,150293,-7.658,0.369,1,Energetic
Hal Ketchum,Past The Point Of Rescue,0.765,0.349,184.257,0.0287,0.24,4.73E-05,4,0.44,3,267467,-5.973,0.778,1,Energetic
Joshua Radin,Beautiful Day,0.429,0.0859,95.014,0.0275,0.233,0.004,4,0.689,4,212258,-9.301,0.592,1,Energetic
10cc,I'm Not In Love,0.622,0.126,133.525,0.0569,0.785,0.00475,4,0.385,4,367240,-13.139,0.156,1,Sad
Blitzen Trapper,Valley of Death,0.641,0.493,88.02,0.0573,0.187,0.000164,4,0.792,7,207413,-6.086,0.612,1,Gritty
Giuseppe Verdi,"Il Trovatore, Parte Quarta - Il supplizio, Scena prima: D'amor sull'ali rosee (Leonora)",0.102,0.063,78.544,0.0538,0.989,0.00599,3,0.301,8,228800,-19.334,0.0508,1,Tender
Limp Bizkit,Nookie,0.926,0.712,97.55,0.0907,0.00237,0.163,4,0.548,11,289560,-5.967,0.307,1,Aggressive
Oasis,Rock n Roll Star - Remastered,0.972,0.407,138.223,0.0701,0.000421,0.00129,4,0.314,4,322947,-3.21,0.446,1,Energetic
The Dodos,Walking,0.742,0.254,158.404,0.0281,0.429,0.00218,4,0.295,9,128917,-7.909,0.483,1,Energetic
Jon Hopkins,Abandon Window,0.187,0.0974,127.614,0.0484,0.82,0.804,4,0.169,6,297493,-25.116,0.115,1,Sad
Lamb of God,Redneck,0.996,0.347,130.931,0.114,5.63E-05,0.000167,4,0.512,2,220880,-2.1,0.0621,1,Aggressive
Lights & Motion,Northern Lights,0.119,0.104,61.599,0.0417,0.956,0.915,4,0.139,1,122213,-20.109,0.0398,1,Sad
Green Day,Say Goodbye,0.946,0.412,129.89,0.0482,0.000216,0.00926,4,0.467,1,219347,-3.995,0.792,1,Defiant
Little Green Cars,The John Wayne,0.592,0.13,144.002,0.0326,0.0243,1.68E-06,4,0.299,6,291627,-5.278,0.176,1,Energetic
